DATE,EXCHUS
01/07/2000,8.2794
01/08/2000,8.2796
01/09/2000,8.2785
01/10/2000,8.2785
01/11/2000,8.2774
01/12/2000,8.2771
01/01/2001,8.2776
01/02/2001,8.2771
01/03/2001,8.2775
01/04/2001,8.2771
01/05/2001,8.277
01/06/2001,8.277
01/07/2001,8.2769
01/08/2001,8.277
01/09/2001,8.2768
01/10/2001,8.2768
01/11/2001,8.2769
01/12/2001,8.2764
01/01/2002,8.2771
01/02/2002,8.2767
01/03/2002,8.2773
01/04/2002,8.2772
01/05/2002,8.277
01/06/2002,8.2767
01/07/2002,8.2768
01/08/2002,8.2767
01/09/2002,8.277
01/10/2002,8.2772
01/11/2002,8.2772
01/12/2002,8.2777
01/01/2003,8.2775
01/02/2003,8.278
01/03/2003,8.2773
01/04/2003,8.2772
01/05/2003,8.2769
01/06/2003,8.2771
01/07/2003,8.2773
01/08/2003,8.277
01/09/2003,8.2772
01/10/2003,8.2768
01/11/2003,8.2769
01/12/2003,8.277
01/01/2004,8.277
01/02/2004,8.2771
01/03/2004,8.2771
01/04/2004,8.2769
01/05/2004,8.2771
01/06/2004,8.2767
01/07/2004,8.2767
01/08/2004,8.2768
01/09/2004,8.2767
01/10/2004,8.2765
01/11/2004,8.2765
01/12/2004,8.2765
01/01/2005,8.2765
01/02/2005,8.2765
01/03/2005,8.2765
01/04/2005,8.2765
01/05/2005,8.2765
01/06/2005,8.2765
01/07/2005,8.2264
01/08/2005,8.1017
01/09/2005,8.0919
01/10/2005,8.0895
01/11/2005,8.084
01/12/2005,8.0755
01/01/2006,8.0654
01/02/2006,8.0512
01/03/2006,8.035
01/04/2006,8.0143
01/05/2006,8.0131
01/06/2006,8.0042
01/07/2006,7.9897
01/08/2006,7.9722
01/09/2006,7.9334
01/10/2006,7.9018
01/11/2006,7.8622
01/12/2006,7.8219
01/01/2007,7.7876
01/02/2007,7.7502
01/03/2007,7.7369
01/04/2007,7.7247
01/05/2007,7.6773
01/06/2007,7.6333
01/07/2007,7.5757
01/08/2007,7.5734
01/09/2007,7.521
01/10/2007,7.5019
01/11/2007,7.421
01/12/2007,7.3682
01/01/2008,7.2405
01/02/2008,7.1644
01/03/2008,7.0722
01/04/2008,6.9997
01/05/2008,6.9725
01/06/2008,6.8993
01/07/2008,6.8355
01/08/2008,6.8462
01/09/2008,6.8307
01/10/2008,6.8358
01/11/2008,6.8281
01/12/2008,6.8539
01/01/2009,6.836
01/02/2009,6.8363
01/03/2009,6.836
01/04/2009,6.8306
01/05/2009,6.8235
01/06/2009,6.8334
01/07/2009,6.8317
01/08/2009,6.8323
01/09/2009,6.8277
01/10/2009,6.8267
01/11/2009,6.8271
01/12/2009,6.8275
01/01/2010,6.8269
01/02/2010,6.8285
01/03/2010,6.8262
01/04/2010,6.8256
01/05/2010,6.8275
01/06/2010,6.8184
01/07/2010,6.7762
01/08/2010,6.7873
01/09/2010,6.7396
01/10/2010,6.6678
01/11/2010,6.6538
01/12/2010,6.6497
01/01/2011,6.5964
01/02/2011,6.5761
01/03/2011,6.5645
01/04/2011,6.5267
01/05/2011,6.4957
01/06/2011,6.4746
01/07/2011,6.4575
01/08/2011,6.4036
01/09/2011,6.3885
01/10/2011,6.371
01/11/2011,6.3564
01/12/2011,6.3482
01/01/2012,6.3172
01/02/2012,6.2997
01/03/2012,6.3125
